# Words whose schwa nothing has verified, most frequent first.
# Answer one question per row: is each marked e the vowel of 'enak' (e)
# or of 'sedang' (schwa)? Put y or n in the last column; leave blank if unsure.
# The first 500 rows carry 77% of this group's weight in running text.
freq	word	pronunciation	schwa_decision	correct
10	religius	r e l i ɡ i u s	e1=e	
10	rel	r e l	e1=e	
10	rekan	r ə k a n	e1=ə	
10	novelis	n o v ə l i s	e1=ə	
10	multiseluler	m u l t i s e l u l e r	e1=e e2=e	
10	menembus	m ə n ə m b u s	e1=ə e2=ə	
10	melekat	m ə l e k a t	e1=ə e2=e	
10	konferensi	k o n f ə r e n s i	e1=ə e2=e	
10	komunisme	k o m u n i s m ə	e1=ə	
10	kolektif	k o l e k t i f	e1=e	
10	kerjasama	k ə r d͡ʒ a s a m a	e1=ə	
10	gaelik	ɡ a ə l i k	e1=ə	
10	elektronik	e l e k t r o n i k	e1=e e2=e	
10	demokratis	d e m o k r a t i s	e1=e	
10	database	d a t a b a s ə	e1=ə	
10	atlet	a t l e t	e1=e	
10	american	a m e r i t͡ʃ a n	e1=e	
9	yudaisme	j u d a i s m ə	e1=ə	
9	wilhelm	w i l h e l m	e1=e	
9	valensi	v a l ə n s i	e1=ə	
9	strategis	s t r a t ə ɡ i s	e1=ə	
9	selesma	s ə l e s m a	e1=ə e2=e	
9	sate	s a t e	e1=e	
9	respon	r e s p o n	e1=e	
9	polimerase	p o l i m e r a s ə	e1=e e2=ə	
9	pilek	p i l ə k	e1=ə	
9	numerik	n u m ə r i k	e1=ə	
9	napoleon	n a p o l e o n	e1=e	
9	mengelilingi	m ə ŋ ə l i l i ŋ i	e1=ə e2=ə	
9	memprediksi	m ə m p r e d i k s i	e1=ə e2=e	
9	lepton	l ə p t o n	e1=ə	
9	kromosfer	k r o m o s f ə r	e1=ə	
9	konvektif	k o n v e k t i f	e1=e	
9	konsesi	k o n s e s i	e1=e	
9	kelvin	k ə l v i n	e1=ə	
9	karier	k a r i ə r	e1=ə	
9	getah	ɡ ə t a h	e1=ə	
9	fretilin	f r e t i l i n	e1=e	
9	euro	e u r o	e1=e	
9	etnografi	e t n o ɡ r a f i	e1=e	
9	endositosis	e n d o s i t o s i s	e1=e	
9	direalisasikan	d i r e a l i s a s i k a n	e1=e	
9	desain	d e s a i n	e1=e	
9	demonstrativa	d e m o n s t r a t i v a	e1=e	
9	aset	a s ə t	e1=ə	
9	ariel	a r i ə l	e1=ə	
9	argentina	a r ɡ e n t i n a	e1=e	
8	weber	w e b ə r	e1=e e2=ə	
8	uniseluler	u n i s e l u l e r	e1=e e2=e	
8	tidore	t i d o r e	e1=e	
8	temporal	t ə m p o r a l	e1=ə	
8	telinga	t ə l i ŋ a	e1=ə	
8	subkelompok	s u b k ə l o m p o k	e1=ə	
8	soewardi	s u w a r d i	?	
8	sitoskeleton	s i t o s k ə l ə t o n	e1=ə e2=ə	
8	seksual	s ə k s u a l	e1=ə	
8	se	s ə	e1=ə	
8	realisme	r e a l i s m ə	e1=e e2=ə	
8	potensi	p o t e n s i	e1=e	
8	nanometer	n a n o m e t ə r	e1=e e2=ə	
8	merepresentasikan	m ə r e p r e s e n t a s i k a n	e1=ə e2=e e3=e e4=e	
8	menjelang	m ə n d͡ʒ ə l a ŋ	e1=ə e2=ə	
8	mendeskripsikan	m ə n d e s k r i p s i k a n	e1=ə e2=e	
8	made	m a d ə	e1=ə	
8	love	l o v ə	e1=ə	
8	keterlibatan	k ə t ə r l i b a t a n	e1=ə e2=ə	
8	jejak	d͡ʒ ə d͡ʒ a k	e1=ə	
8	intensitas	i n t e n s i t a s	e1=e	
8	insiden	i n s i d e n	e1=e	
8	impetigo	i m p ə t i ɡ o	e1=ə	
8	heliosfer	h ə l i o s f ə r	e1=ə e2=ə	
8	hebat	h ə b a t	e1=ə	
8	fotosintesis	f o t o s i n t e s i s	e1=e	
8	fenom	f e n o m	e1=e	
8	ek	e k	e1=e	
8	deklarasi	d e k l a r a s i	e1=e	
8	bereaksi	b ə r e a k s i	e1=ə e2=e	
8	ben	b ə n	e1=ə	
8	baltimore	b a l t i m o r e	e1=e	
7	teguh	t ə ɡ u h	e1=ə	
7	swedia	s w ə d i a	e1=ə	
7	sumeria	s u m ə r i a	e1=ə	
7	soetan	s u t a n	?	
7	seringkali	s ə r i ŋ k a l i	e1=ə	
7	sengketa	s ə ŋ k e t a	e1=ə e2=e	
7	religiusitas	r e l i ɡ i u s i t a s	e1=e	
7	rehidrasi	r e h i d r a s i	e1=e	
7	reduplikasi	r e d u p l i k a s i	e1=e	
7	progresif	p r o ɡ r e s i f	e1=e	
7	prapenyakit	p r a p ə ɲ a k i t	e1=ə	
7	perspektif	p ə r s p e k t i f	e1=ə e2=e	
7	peroksisom	p ə r o k s i s o m	e1=ə	
7	panen	p a n e n	e1=e	
7	mengerahkan	m ə ŋ ə r a h k a n	e1=ə e2=ə	
7	mempekerjakan	m ə m p e k ə r d͡ʒ a k a n	e1=ə e2=e e3=ə	
7	matrilineal	m a t r i l i n e a l	e1=e	
7	marxisme	m a r k s i s m ə	e1=ə	
7	korelasi	k o r e l a s i	e1=e	
7	klemantan	k l e m a n t a n	e1=e	
7	keesokan	k ə e s o k a n	e1=ə e2=e	
7	kebal	k ə b a l	e1=ə	
7	jembrana	d͡ʒ ə m b r a n a	e1=ə	
7	interior	i n t ə r i o r	e1=ə	
7	integrasi	i n t ə ɡ r a s i	e1=ə	
7	geografer	ɡ e o ɡ r a f ə r	e1=e e2=ə	
7	efisiensi	e f i s i e n s i	e1=e e2=e	
7	dinger	d i ŋ ə r	e1=ə	
7	diameter	d i a m e t ə r	e1=e e2=ə	
7	den	d e n	e1=e	
7	cambridge	t͡ʃ a m b r i d ɡ e	e1=e	
7	boer	b u r	?	
7	berdiameter	b ə r d i a m e t ə r	e1=ə e2=e e3=ə	
7	berair	b ə r a i r	e1=ə	
7	benuaq	b ə n u a k	e1=ə	
7	bakteriofag	b a k t ə r i o f a ɡ	e1=ə	
7	ateis	a t e i s	e1=e	
6	tiber	t i b ə r	e1=ə	
6	teuku	t e u k u	e1=e	
6	temurun	t ə m u r u n	e1=ə	
6	slamet	s l a m ə t	e1=ə	
6	serotipe	s e r o t i p ə	e1=e e2=ə	
6	sensitif	s ə n s i t i f	e1=ə	
6	selangor	s ə l a n ɡ o r	e1=ə	
6	samudera	s a m u d ə r a	e1=ə	
6	saleh	s a l e h	e1=e	
6	re	r e	e1=e	
6	prevalensi	p r e v a l ə n s i	e1=e e2=ə	
6	presisi	p r e s i s i	e1=e	
6	persepsi	p ə r s e p s i	e1=ə e2=e	
6	penultima	p ə n u l t i m a	e1=ə	
6	pengekspor	p ə ŋ e k s p o r	e1=ə e2=e	
6	pelekatan	p ə l e k a t a n	e1=ə e2=e	
6	pamekasan	p a m ə k a s a n	e1=ə	
6	orientasi	o r i e n t a s i	e1=e	
6	moneter	m o n ə t e r	e1=ə e2=e	
6	molekular	m o l e k u l a r	e1=e	
6	metodologi	m e t o d o l o ɡ i	e1=e	
6	meningokokus	m ə n i ŋ o k o k u s	e1=ə	
6	melodi	m ə l o d i	e1=ə	
6	melanesia	m ə l a n e s i a	e1=ə e2=e	
6	mekkah	m ə k k a h	e1=ə	
6	legitimasi	l ə ɡ i t i m a s i	e1=ə	
6	le	l e	e1=e	
6	kriket	k r i k e t	e1=e	
6	konstituen	k o n s t i t u ə n	e1=ə	
6	kapel	k a p ə l	e1=ə	
6	kangean	k a ŋ e a n	e1=e	
6	jones	d͡ʒ o n ə s	e1=ə	
6	hitler	h i t l e r	e1=e	
6	herodes	h e r o d e s	e1=e e2=e	
6	gelas	ɡ ə l a s	e1=ə	
6	fermion	f e r m i o n	e1=e	
6	ergatif	e r ɡ a t i f	e1=e	
6	eds	e d s	e1=e	
6	droplet	d r o p l e t	e1=e	
6	diprediksi	d i p r e d i k s i	e1=e	
6	dikerahkan	d i k ə r a h k a n	e1=ə	
6	cicero	t͡ʃ i t͡ʃ ə r o	e1=ə	
6	biogeografi	b i o ɡ e o ɡ r a f i	e1=e	
6	benjamin	b ə n d͡ʒ a m i n	e1=ə	
6	beguk	b ə ɡ u k	e1=ə	
6	antarsel	a n t a r s ə l	e1=ə	
6	alergi	a l e r ɡ i	e1=e	
6	akademisi	a k a d ə m i s i	e1=ə	
6	akademis	a k a d ə m i s	e1=ə	
5	transmembran	t r a n s m ə m b r a n	e1=ə	
5	transkriptase	t r a n s k r i p t a s ə	e1=ə	
5	tetes	t ə t e s	e1=ə e2=e	
5	sensor	s ə n s o r	e1=ə	
5	semburan	s ə m b u r a n	e1=ə	
5	rezim	r e z i m	e1=e	
5	representasi	r e p r ə s e n t a s i	e1=e e2=ə e3=e	
5	religions	r e l i ɡ i o n s	e1=e	
5	religi	r e l i ɡ i	e1=e	
5	rekreasi	r e k r e a s i	e1=e e2=e	
5	rekor	r e k o r	e1=e	
5	regulasi	r e ɡ u l a s i	e1=e	
5	protease	p r o t e a s ə	e1=e e2=ə	
5	prestasi	p r e s t a s i	e1=e	
5	polinukleotida	p o l i n u k l e o t i d a	e1=e	
5	penida	p e n i d a	e1=e	
5	paramiliter	p a r a m i l i t ə r	e1=ə	
5	paralel	p a r a l e l	e1=e	
5	paket	p a k e t	e1=e	
5	operasional	o p ə r a s i o n a l	e1=ə	
5	obelisk	o b ə l i s k	e1=ə	
5	ngaseng	ŋ a s e ŋ	e1=e	
5	monumental	m o n u m e n t a l	e1=e	
5	monoteistik	m o n o t e i s t i k	e1=e	
5	miosen	m i o s e n	e1=e	
5	militernya	m i l i t ə r ɲ a	e1=ə	
5	mikroorganisme	m i k r o o r ɡ a n i s m ə	e1=ə	
5	meulaboh	m e u l a b o h	e1=e	
5	metafisik	m e t a f i s i k	e1=e	
5	mesopotamia	m ə s o p o t a m i a	e1=ə	
5	menstabilkan	m ə n s t a b i l k a n	e1=ə	
5	mengejutkan	m ə ŋ ə d͡ʒ u t k a n	e1=ə e2=ə	
5	mempublikasikan	m ə m p u b l i k a s i k a n	e1=ə	
5	me	m ə	e1=ə	
5	magazine	m a ɡ a z i n ə	e1=ə	
5	lepuhan	l ə p u h a n	e1=ə	
5	lemak	l ə m a k	e1=ə	
5	lebat	l ə b a t	e1=ə	
5	kuliner	k u l i n e r	e1=e	
5	kreatif	k r e a t i f	e1=e	
5	koresponden	k o r e s p o n d e n	e1=e e2=e	
5	kinerja	k i n ə r d͡ʒ a	e1=ə	
5	kemak	k ə m a k	e1=ə	
5	keliru	k ə l i r u	e1=ə	
5	kelembaban	k ə l ə m b a b a n	e1=ə e2=ə	
5	kecak	k ə t͡ʃ a k	e1=ə	
5	kamera	k a m ə r a	e1=ə	
5	hinduisme	h i n d u i s m ə	e1=ə	
5	geseran	ɡ e s e r a n	e1=e e2=e	
5	genre	ɡ e n r e	e1=e e2=e	
5	genetis	ɡ e n e t i s	e1=e e2=e	
5	fundamentalis	f u n d a m e n t a l i s	e1=e	
5	feminisme	f e m i n i s m ə	e1=e e2=ə	
5	esensi	e s ə n s i	e1=e e2=ə	
5	ekspatriat	e k s p a t r i a t	e1=e	
5	eksistensialisme	e k s i s t e n s i a l i s m ə	e1=e e2=e e3=ə	
5	eic	e i t͡ʃ	e1=e	
5	duet	d u e t	e1=e	
5	direktur	d i r e k t u r	e1=e	
5	dikelompokan	d i k ə l o m p o k a n	e1=ə	
5	dideskripsikan	d i d e s k r i p s i k a n	e1=e	
5	des	d e s	e1=e	
5	denominasi	d e n o m i n a s i	e1=e	
5	deli	d e l i	e1=e	
5	deklaratif	d e k l a r a t i f	e1=e	
5	celebes	t͡ʃ e l ə b e s	e1=e e2=ə e3=e	
5	ceko	t͡ʃ ə k o	e1=ə	
5	bercak	b ə r t͡ʃ a k	e1=ə	
5	beitar	b e e i t a r	?	
5	beit	b e i t	e1=e	
5	antarplanet	a n t a r p l a n e t	e1=e	
5	animisme	a n i m i s m ə	e1=ə	
5	ager	a ɡ ə r	e1=ə	
4	water	w a t ə r	e1=ə	
4	wage	w a ɡ e	e1=e	
4	vegetasi	v e ɡ ə t a s i	e1=e e2=ə	
4	utilitarianisme	u t i l i t a r i a n i s m ə	e1=ə	
4	topeng	t o p e ŋ	e1=e	
4	tibet	t i b ə t	e1=ə	
4	tetun	t ə t u n	e1=ə	
4	terkecuali	t ə r k ə t͡ʃ u a l i	e1=ə e2=ə	
4	terjun	t ə r d͡ʒ u n	e1=ə	
4	temasek	t ə m a s ə k	e1=ə e2=ə	
4	tegal	t ə ɡ a l	e1=ə	
4	teater	t e a t ə r	e1=e e2=ə	
4	stroke	s t r o k e	e1=e	
4	soppeng	s o p p e ŋ	e1=e	
4	sisterna	s i s t ə r n a	e1=ə	
4	sistematika	s i s t ə m a t i k a	e1=ə	
4	sistematik	s i s t ə m a t i k	e1=ə	
4	sintetik	s i n t e t i k	e1=e	
4	simbolisme	s i m b o l i s m ə	e1=ə	
4	sferik	s f e r i k	e1=e	
4	sesar	s ə s a r	e1=ə	
4	semitransitif	s ə m i t r a n s i t i f	e1=ə	
4	sembari	s ə m b a r i	e1=ə	
4	seks	s ə k s	e1=ə	
4	segmentasi	s ə ɡ m e n t a s i	e1=ə e2=e	
4	salmonella	s a l m o n e l l a	e1=e	
4	salep	s a l ə p	e1=ə	
4	salem	s a l ə m	e1=ə	
4	rubella	r u b e l l a	e1=e	
4	regimen	r e ɡ i m ə n	e1=e e2=ə	
4	prosedur	p r o s ə d u r	e1=ə	
4	projek	p r o d͡ʒ e k	e1=e	
4	profesi	p r o f e s i	e1=e	
4	premis	p r e m i s	e1=e	
4	prediksi	p r e d i k s i	e1=e	
4	popper	p o p p e r	e1=e	
4	pleistosen	p l e i s t o s e n	e1=e e2=e	
4	persis	p ə r s i s	e1=ə	
4	penyerbuan	p ə ɲ ə r b u a n	e1=ə e2=ə	
4	pelalawan	p ə l a l a w a n	e1=ə	
4	pekanbaru	p ə k a n b a r u	e1=ə	
4	patogenesis	p a t o ɡ e n e s i s	e1=e e2=e	
4	ole	o l e	e1=e	
4	nukleokapsid	n u k l e o k a p s i d	e1=e	
4	nukleoid	n u k l e o i d	e1=e	
4	neurologis	n e u r o l o ɡ i s	e1=e	
4	neurolinguistik	n e u r o l i ŋ u i s t i k	e1=e	
4	negarawan	n ə ɡ a r a w a n	e1=ə	
4	nanoteknologi	n a n o t e k n o l o ɡ i	e1=e	
4	modernisme	m o d e r n i s m ə	e1=e e2=ə	
4	modernisasi	m o d ə r n i s a s i	e1=ə	
4	mikrometer	m i k r o m e t ə r	e1=e e2=ə	
4	menyerbu	m ə ɲ ə r b u	e1=ə e2=ə	
4	meningitis	m ə n i ŋ i t i s	e1=ə	
4	mengenyam	m ə ŋ e ɲ a m	e1=ə e2=e	
4	mengelompokkan	m ə ŋ ə l o m p o k k a n	e1=ə e2=ə	
4	mengelompokan	m ə ŋ ə l o m p o k a n	e1=ə e2=ə	
4	menempuh	m ə n ə m p u h	e1=ə e2=ə	
4	mendeklarasikan	m ə n d e k l a r a s i k a n	e1=ə e2=e	
4	memproses	m ə m p r o s e s	e1=ə e2=e	
4	meksiko	m e k s i k o	e1=e	
4	megalitik	m e ɡ a l i t i k	e1=e	
4	lumen	l u m ə n	e1=ə	
4	letup	l ə t u p	e1=ə	
4	letnan	l e t n a n	e1=e	
4	letih	l ə t i h	e1=ə	
4	leiden	l e i d e n	e1=e e2=e	
4	legislasi	l ə ɡ i s l a s i	e1=ə	
4	kreativitas	k r e a t i v i t a s	e1=e	
4	konsepsi	k o n s e p s i	e1=e	
4	kondensat	k o n d ə n s a t	e1=ə	
4	kompleksitas	k o m p l e k s i t a s	e1=e	
4	keris	k ə r i s	e1=ə	
4	kejawen	k ə d͡ʒ a w e n	e1=ə e2=e	
4	kavaleri	k a v a l ə r i	e1=ə	
4	kariernya	k a r i ə r ɲ a	e1=ə	
4	kanselir	k a n s ə l i r	e1=ə	
4	kaledonia	k a l e d o n i a	e1=e	
4	jeneponto	d͡ʒ ə n ə p o n t o	e1=ə e2=ə	
4	israeli	i s r a ə l i	e1=ə	
4	investigasi	i n v e s t i ɡ a s i	e1=e	
4	intern	i n t ə r n	e1=ə	
4	intermediat	i n t ə r m e d i a t	e1=ə e2=e	
4	insidensi	i n s i d ə n s i	e1=ə	
4	inderapura	i n d ə r a p u r a	e1=ə	
4	hussein	h u s s e j n	e1=e	
4	harper	h a r p e r	e1=e	
4	geosfer	ɡ e o s f ə r	e1=e e2=ə	
4	genomnya	ɡ e n o m ɲ a	e1=e	
4	generik	ɡ e n ə r i k	e1=e e2=ə	
4	generatif	ɡ e n ə r a t i f	e1=e e2=ə	
4	gelembung	ɡ ə l ə m b u ŋ	e1=ə e2=ə	
4	gede	ɡ ə d e	e1=ə e2=e	
4	forensik	f o r ə n s i k	e1=ə	
4	flores	f l o r e s	e1=e	
4	etolog	e t o l o ɡ	e1=e	
4	erosi	e r o s i	e1=e	
4	endomembran	e n d o m ə m b r a n	e1=e e2=ə	
4	end	e n d	e1=e	
4	elektrostatik	e l e k t r o s t a t i k	e1=e e2=e	
4	elektrolisis	e l e k t r o l i s i s	e1=e e2=e	
4	elektrodinamika	e l e k t r o d i n a m i k a	e1=e e2=e	
4	eksplisit	e k s p l i s i t	e1=e	
4	eksperimentalis	e k s p e r i m e n t a l i s	e1=e e2=e e3=e	
4	earl	e a r l	e1=e	
4	duke	d u k e	e1=e	
4	ditetaskan	d i t ə t a s k a n	e1=ə	
4	direpresentasikan	d i r e p r ə s e n t a s i k a n	e1=e e2=ə e3=e	
4	diprediksikan	d i p r e d i k s i k a n	e1=e	
4	dievakuasi	d i e v a k u a s i	e1=e	
4	dicetuskan	d i t͡ʃ ə t u s k a n	e1=ə	
4	dewantara	d e w a n t a r a	e1=e	
4	detektor	d e t e k t o r	e1=e e2=e	
4	deoksiribosa	d e o k s i r i b o s a	e1=e	
4	deoksiribonukleat	d e o k s i r i b o n u k l e a t	e1=e e2=e	
4	demokrat	d e m o k r a t	e1=e	
4	delta	d e l t a	e1=e	
4	centauri	t͡ʃ ə n t a u r i	e1=ə	
